,Gold and Foreign Exchange Position ,,,,,,,,,,,,
,,,,,,,,,,,,,
,(TIME SERIES),,,,,,,,,,,,
,This time series represents the Gold and Foreign Exchange Position over a period of time published by the South African Reserve Bank and updated at the end of each month.,,,,,,,,,,,,
,Month-,Gold,Foreign,Gross,Foreign ,Gold,Foreign,Gross,Foreign ,Other,Forward,International,Exchange
,end,Reserves 1,Exchange,Reserves,Loans,Reserves 2,Exchange,Reserves,Loans,,Position,Liquidity,Rate
,,,Reserves,,Received,,Reserves,,Received,,,Position/,
,,,,,,,,,,,,Net Reserves,
,,R'Million,R'Million,R'Million,R'Million,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,$'Millions,Rand\USD
,,-1,-2,(1+2),-3,-4,-5,(4+5),-6,-7,-8,(4+5+6+7+8),
,1998-10-31, 6 043 , 24 468 , 30 511 , (18 373), -   , 4 303 , 4 303 , (3 231), 1 085 , (25 281), (23 124),5.6865
,1998-11-30, 6 472 , 24 780 , 31 252 , (18 324), -   , 4 342 , 4 342 , (3 211), 1 216 , (24 920), (22 573),5.7065
,1998-12-31, 6 059 , 25 523 , 31 582 , (18 072), -   , 4 355 , 4 355 , (3 084), 1 100 , (24 872), (22 501),5.86
,,,,,,,,,,,,,
,1999-01-31, 6 220 , 26 337 , 32 557 , (18 005), -   , 4 370 , 4 370 , (2 988), 1 090 , (24 663), (22 191),6.0265
,1999-02-28, 6 388 , 26 357 , 32 745 , (17 971), -   , 4 269 , 4 269 , (2 910), 1 050 , (24 416), (22 008),6.1745
,1999-03-31, 6 261 , 26 625 , 32 886 , (17 937), -   , 4 295 , 4 295 , (2 894), 1 016 , (24 161), (21 743),6.1985
,1999-04-30, 6 174 , 27 488 , 33 662 , (17 266), -   , 4 515 , 4 515 , (2 836), 1 036 , (23 309), (20 594),6.0885
,1999-05-31, 5 993 , 28 312 , 34 305 , (16 396), -   , 4 557 , 4 557 , (2 639),969, (22 192), (19 305),6.2135
,1999-06-30, 5 745 , 29 315 , 35 060 , (16 043), -   , 4 852 , 4 852 , (2 655),970, (21 514), (18 347),6.0415
,1999-07-31, 5 711 , 29 940 , 35 651 , (15 207), -   , 4 863 , 4 863 , (2 470),956, (20 866), (17 517),6.1565
,1999-08-31, 5 585 , 31 756 , 37 341 , (16 899), -   , 5 221 , 5 221 , (2 778),903, (20 209), (16 864),6.0825
,1999-09-30, 6 312 , 32 899 , 39 211 , (17 714), -   , 5 472 , 5 472 , (2 946), 1 073 , (19 196), (15 597),6.0125
,1999-10-31, 6 542 , 36 096 , 42 638 , (19 688), -   , 5 875 , 5 875 , (3 205), 1 090 , (18 697), (14 936),6.1435
,1999-11-30, 6 480 , 38 759 , 45 239 , (19 827), -   , 6 280 , 6 280 , (3 213), 1 092 , (18 136), (13 976),6.1715
,1999-12-31, 6 276 , 39 093 , 45 369 , (18 770), -   , 6 353 , 6 353 , (3 050), 1 100 , (17 443), (13 041),6.1535
,,,,,,,,,,,,,
,2000-01-31, 6 401 , 40 020 , 46 421 , (17 337), -   , 6 341 , 6 341 , (2 747), 1 093 , (16 157), (11 470),6.3115
,2000-02-28, 6 666 , 40 321 , 46 987 , (16 351), -   , 6 351 , 6 351 , (2 576), 1 114 , (16 007), (11 117),6.3485
,2000-03-31, 6 610 , 41 841 , 48 451 , (16 454), -   , 6 365 , 6 365 , (2 503), 1 059 , (15 231), (10 310),6.5735
,2000-04-30, 6 821 , 43 166 , 49 987 , (16 701), -   , 6 312 , 6 312 , (2 442), 1 062 , (15 181), (10 249),6.8385
,2000-05-30, 6 831 , 43 915 , 50 746 , (17 076), -   , 6 295 , 6 295 , (2 448), 1 052 , (15 132), (10 232),6.9765
,2000-06-30, 7 011 , 44 058 , 51 069 , (17 819), -   , 6 459 , 6 459 , (2 612), 1 119 , (15 093), (10 127),6.8215
,2000-07-31, 8 581 , 43 379 , 51 960 , (18 068), -   , 6 240 , 6 240 , (2 599), 1 296 , (14 866), (9 929),6.9515
,2000-08-31, 9 919 , 42 222 , 52 141 , (18 067), -   , 6 063 , 6 063 , (2 594), 1 507 , (14 671), (9 695),6.9635
,2000-09-30, 10 376 , 44 366 , 54 742 , (18 918), -   , 6 104 , 6 104 , (2 603), 1 514 , (14 604), (9 588),7.2685
