,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
"15-Apr-08,Tue",11.176," R 85,577 ",,11.278," R 12,075 "
"16-Apr-08,Wed",11.163," R 88,118 ",,11.270," R 10,562 "
"17-Apr-08,Thu",11.175," R 86,030 ",,11.254," R 12,325 "
"18-Apr-08,Fri",11.185," R 82,521 ",,11.471," R 8,519 "
"21-Apr-08,Mon",11.172," R 79,857 ",,11.028," R 12,058 "
"22-Apr-08,Tue",11.165," R 77,691 ",,10.890," R 17,640 "
"23-Apr-08,Wed",11.166," R 80,252 ",,10.900," R 11,365 "
"24-Apr-08,Thu",11.154," R 81,337 ",,10.784," R 15,520 "
"25-Apr-08,Fri",11.175," R 72,760 ",,11.312," R 17,713 "
"28-Apr-08,Mon",11.175," R 72,760 ",,11.312," R 17,713 "
"29-Apr-08,Tue",11.192," R 73,164 ",,11.450," R 14,430 "
"30-Apr-08,Wed",11.194," R 76,434 ",,11.495," R 10,975 "
"01-May-08,Thu",11.194," R 76,434 ",,11.495," R 10,975 "
"02-May-08,Fri",11.194," R 76,434 ",,11.495," R 10,975 "
"05-May-08,Mon",11.191," R 79,384 ",,11.273," R 15,762 "
"06-May-08,Tue",11.193," R 79,633 ",,11.325," R 15,761 "
"07-May-08,Wed",11.187," R 80,942 ",,11.232," R 16,979 "
"08-May-08,Thu",11.182," R 84,320 ",,11.124," R 15,360 "
"09-May-08,Fri",11.183," R 83,211 ",,11.056," R 13,915 "
"12-May-08,Mon",11.175," R 82,963 ",,11.034," R 13,436 "
"13-May-08,Tue",11.197," R 85,832 ",,11.359," R 12,781 "
"14-May-08,Wed",11.205," R 80,638 ",,11.446," R 7,984 "
"15-May-08,Thu",11.197," R 77,160 ",,11.255," R 9,197 "
"16-May-08,Fri",11.203," R 78,099 ",,11.475," R 10,218 "
"19-May-08,Mon",11.202," R 78,862 ",,11.435," R 12,002 "
"20-May-08,Tue",11.206," R 72,009 ",,11.424," R 12,069 "
"21-May-08,Wed",11.204," R 74,635 ",,11.443," R 10,704 "
"22-May-08,Thu",11.202," R 74,551 ",,11.440," R 14,656 "
"23-May-08,Fri",11.195," R 78,751 ",,11.511," R 9,418 "
"26-May-08,Mon",11.203," R 73,182 ",,,
"27-May-08,Tue",11.225," R 71,412 ",,11.567," R 13,605 "
"28-May-08,Wed",11.220," R 63,137 ",,11.447," R 10,229 "
"29-May-08,Thu",11.222," R 76,314 ",,11.478," R 6,185 "
"30-May-08,Fri",11.231," R 70,061 ",,11.661," R 15,702 "
"02-Jun-08,Mon",11.221," R 71,378 ",,11.332," R 13,046 "
"03-Jun-08,Tue",11.226," R 73,964 ",,11.476," R 14,437 "
"04-Jun-08,Wed",11.225," R 74,293 ",,11.335," R 24,008 "
"05-Jun-08,Thu",11.225," R 71,745 ",,11.486," R 17,371 "
"06-Jun-08,Fri",11.215," R 75,094 ",,11.419," R 16,021 "
"09-Jun-08,Mon",11.234," R 81,089 ",,11.622," R 17,326 "
"10-Jun-08,Tue",11.246," R 83,126 ",,11.478," R 18,358 "
"11-Jun-08,Wed",11.245," R 83,991 ",,11.406," R 18,333 "
"12-Jun-08,Thu",11.246," R 85,656 ",,11.349," R 22,283 "
"13-Jun-08,Fri",11.623," R 91,621 ",,11.737," R 16,080 "
"16-Jun-08,Mon",11.623," R 91,621 ",,11.737," R 16,080 "
"17-Jun-08,Tue",11.670," R 90,129 ",,11.696," R 23,615 "
"18-Jun-08,Wed",11.685," R 86,612 ",,11.767," R 20,054 "
"19-Jun-08,Thu",11.685," R 92,809 ",,11.799," R 17,577 "
"20-Jun-08,Fri",11.686," R 90,716 ",,11.926," R 23,075 "
"23-Jun-08,Mon",11.685," R 91,969 ",,11.745," R 32,152 "
"24-Jun-08,Tue",11.689," R 90,890 ",,11.778," R 25,556 "
"25-Jun-08,Wed",11.675," R 89,470 ",,11.776," R 28,828 "
"26-Jun-08,Thu",11.670," R 89,520 ",,11.816," R 15,921 "
"27-Jun-08,Fri",11.698," R 93,721 ",,12.090," R 11,794 "
"30-Jun-08,Mon",11.689," R 90,910 ",,12.155," R 12,506 "
"01-Jul-08,Tue",11.669," R 90,796 ",,11.946," R 16,883 "
"02-Jul-08,Wed",11.672," R 94,166 ",,11.920," R 25,350 "
"03-Jul-08,Thu",11.671," R 88,227 ",,11.868," R 12,778 "
"04-Jul-08,Fri",11.678," R 87,472 ",,,
"07-Jul-08,Mon",11.700," R 85,178 ",,11.989," R 16,741 "
"08-Jul-08,Tue",11.695," R 86,606 ",,11.878," R 13,802 "
"09-Jul-08,Wed",11.715," R 82,167 ",,11.783," R 15,334 "
"10-Jul-08,Thu",11.702," R 81,289 ",,11.921," R 14,250 "
"11-Jul-08,Fri",11.705," R 77,818 ",,11.892," R 9,973 "
"14-Jul-08,Mon",11.695," R 79,043 ",,11.882," R 11,445 "
"15-Jul-08,Tue",11.693," R 81,103 ",,11.926," R 12,058 "
"16-Jul-08,Wed",11.698," R 83,041 ",,11.896," R 13,479 "
"17-Jul-08,Thu",11.674," R 88,958 ",,11.826," R 14,953 "
"18-Jul-08,Fri",11.670," R 87,719 ",,11.807," R 16,313 "
"21-Jul-08,Mon",11.695," R 83,031 ",,11.921," R 20,548 "
"22-Jul-08,Tue",11.697," R 80,155 ",,11.898," R 21,700 "
"23-Jul-08,Wed",11.693," R 76,654 ",,11.835," R 16,222 "
"24-Jul-08,Thu",11.705," R 75,294 ",,11.970," R 11,905 "
"25-Jul-08,Fri",11.710," R 79,576 ",,11.957," R 14,732 "
"28-Jul-08,Mon",11.718," R 82,623 ",,11.940," R 16,110 "
"29-Jul-08,Tue",11.722," R 83,640 ",,12.029," R 10,579 "
"30-Jul-08,Wed",11.733," R 87,838 ",,11.914," R 7,662 "
"31-Jul-08,Thu",11.728," R 85,398 ",,11.855," R 11,637 "
"01-Aug-08,Fri",11.706," R 81,416 ",,11.854," R 13,081 "
"04-Aug-08,Mon",11.705," R 82,133 ",,11.795," R 12,875 "
"05-Aug-08,Tue",11.701," R 87,160 ",,11.654," R 13,378 "
"06-Aug-08,Wed",11.716," R 87,197 ",,11.834," R 15,400 "
"07-Aug-08,Thu",11.708," R 72,126 ",,11.839," R 14,415 "
"08-Aug-08,Fri",11.721," R 83,177 ",,11.785," R 14,024 "
"11-Aug-08,Mon",11.710," R 82,143 ",,11.710," R 14,199 "
"12-Aug-08,Tue",11.713," R 80,553 ",,11.781," R 13,232 "
"13-Aug-08,Wed",11.716," R 82,238 ",,11.876," R 17,123 "
"14-Aug-08,Thu",11.725," R 82,952 ",,11.871," R 20,360 "
"15-Aug-08,Fri",11.677," R 83,462 ",,11.943," R 15,780 "
"18-Aug-08,Mon",11.664," R 82,972 ",,11.867," R 15,856 "
"19-Aug-08,Tue",11.690," R 80,310 ",,11.914," R 19,197 "
"20-Aug-08,Wed",11.656," R 87,094 ",,11.853," R 16,416 "
"21-Aug-08,Thu",11.629," R 83,522 ",,11.964," R 11,111 "
"22-Aug-08,Fri",11.670," R 91,226 ",,11.981," R 13,777 "
"25-Aug-08,Mon",11.690," R 84,980 ",,11.882," R 12,009 "
"26-Aug-08,Tue",11.688," R 84,239 ",,11.840," R 11,970 "
"27-Aug-08,Wed",11.689," R 84,258 ",,11.812," R 10,102 "
"28-Aug-08,Thu",11.695," R 84,408 ",,11.949," R 14,891 "
"29-Aug-08,Fri",11.693," R 80,967 ",,12.019," R 13,776 "
"01-Sep-08,Mon",11.708," R 82,290 ",,,
"02-Sep-08,Tue",11.697," R 78,108 ",,11.825," R 19,161 "
"03-Sep-08,Wed",11.693," R 78,201 ",,11.843," R 21,715 "
"04-Sep-08,Thu",11.692," R 77,146 ",,11.750," R 17,846 "
"05-Sep-08,Fri",11.694," R 81,777 ",,11.866," R 14,860 "
"08-Sep-08,Mon",11.697," R 86,949 ",,11.916," R 13,880 "
"09-Sep-08,Tue",11.698," R 81,416 ",,11.978," R 15,406 "
"10-Sep-08,Wed",11.695," R 88,098 ",,11.903," R 16,216 "
"11-Sep-08,Thu",11.702," R 85,028 ",,11.926," R 12,757 "
"12-Sep-08,Fri",11.705," R 84,416 ",,11.920," R 12,638 "
"15-Sep-08,Mon",11.702," R 87,660 ",,11.945," R 13,529 "
"16-Sep-08,Tue",11.703," R 93,655 ",,11.728," R 14,405 "
"17-Sep-08,Wed",11.687," R 100,360 ",,11.234," R 15,752 "
"18-Sep-08,Thu",11.686," R 86,026 ",,11.218," R 14,673 "
"19-Sep-08,Fri",11.719," R 93,971 ",,11.762," R 15,081 "
"22-Sep-08,Mon",11.718," R 87,875 ",,11.842," R 16,437 "
"23-Sep-08,Tue",11.784," R 91,136 ",,12.114," R 16,737 "
"24-Sep-08,Wed",11.784," R 91,136 ",,12.114," R 16,737 "
"25-Sep-08,Thu",11.732," R 81,922 ",,11.829," R 12,249 "
"26-Sep-08,Fri",11.734," R 76,187 ",,12.080," R 13,701 "
"29-Sep-08,Mon",11.744," R 79,654 ",,12.029," R 11,133 "
"30-Sep-08,Tue",11.801," R 76,590 ",,12.744," R 9,290 "
"01-Oct-08,Wed",11.759," R 82,222 ",,12.307," R 19,124 "
"02-Oct-08,Thu",11.767," R 87,779 ",,12.338," R 15,108 "
"03-Oct-08,Fri",11.793," R 92,469 ",,12.545," R 13,418 "
"06-Oct-08,Mon",11.774," R 88,225 ",,12.468," R 14,579 "
"07-Oct-08,Tue",11.817," R 85,987 ",,13.600," R 15,246 "
"08-Oct-08,Wed",11.822," R 89,789 ",,13.569," R 15,269 "
"09-Oct-08,Thu",11.807," R 92,667 ",,13.505," R 11,495 "
"10-Oct-08,Fri",11.781," R 86,309 ",,13.017," R 10,499 "
"13-Oct-08,Mon",11.772," R 80,215 ",,,
"14-Oct-08,Tue",11.776," R 79,005 ",,13.108," R 5,070 "
"15-Oct-08,Wed",11.784," R 79,178 ",,13.336," R 13,102 "
"16-Oct-08,Thu",11.785," R 87,219 ",,13.090," R 13,498 "
"17-Oct-08,Fri",11.779," R 80,118 ",,12.962," R 14,895 "
"20-Oct-08,Mon",11.727," R 84,872 ",,11.701," R 14,676 "
"21-Oct-08,Tue",11.779," R 82,946 ",,12.565," R 13,868 "
"22-Oct-08,Wed",11.787," R 82,235 ",,12.733," R 11,153 "
"23-Oct-08,Thu",11.785," R 78,590 ",,12.665," R 11,866 "
"24-Oct-08,Fri",11.774," R 74,367 ",,12.547," R 14,851 "
"27-Oct-08,Mon",11.781," R 81,842 ",,12.461," R 17,216 "
"28-Oct-08,Tue",11.750," R 79,295 ",,12.070," R 17,069 "
"29-Oct-08,Wed",11.734," R 79,584 ",,11.683," R 13,174 "
"30-Oct-08,Thu",11.736," R 77,188 ",,11.752," R 20,948 "
"31-Oct-08,Fri",11.750," R 77,189 ",,11.733," R 18,757 "
"03-Nov-08,Mon",11.740," R 76,656 ",,11.759," R 13,752 "
"04-Nov-08,Tue",11.725," R 76,957 ",,11.536," R 12,030 "
"05-Nov-08,Wed",11.747," R 82,062 ",,11.942," R 16,179 "
"06-Nov-08,Thu",11.766," R 81,943 ",,12.149," R 14,694 "
"07-Nov-08,Fri",11.759," R 77,471 ",,12.206," R 11,684 "
"10-Nov-08,Mon",11.798," R 82,974 ",,12.586," R 9,058 "
"11-Nov-08,Tue",11.796," R 82,634 ",,,
"12-Nov-08,Wed",11.767," R 77,672 ",,11.928," R 13,910 "
"13-Nov-08,Thu",11.847," R 79,330 ",,13.547," R 11,429 "
"14-Nov-08,Fri",11.843," R 83,248 ",,13.181," R 16,558 "
"17-Nov-08,Mon",11.812," R 80,357 ",,12.633," R 19,148 "
"18-Nov-08,Tue",11.815," R 85,130 ",,12.604," R 15,052 "
"19-Nov-08,Wed",11.800," R 86,153 ",,12.308," R 13,356 "
"20-Nov-08,Thu",11.792," R 79,661 ",,12.186," R 11,510 "
"21-Nov-08,Fri",11.803," R 86,609 ",,12.419," R 14,548 "
"24-Nov-08,Mon",11.827," R 84,508 ",,12.797," R 10,030 "
"25-Nov-08,Tue",11.849," R 87,882 ",,13.240," R 8,604 "
"26-Nov-08,Wed",11.848," R 85,278 ",,13.484," R 6,087 "
"27-Nov-08,Thu",11.746," R 84,864 ",,11.650, R 864 
"28-Nov-08,Fri",11.873," R 74,495 ",,14.087," R 10,729 "
"01-Dec-08,Mon",11.791," R 79,382 ",,12.620," R 14,498 "
"02-Dec-08,Tue",11.755," R 81,040 ",,12.055," R 9,815 "
"03-Dec-08,Wed",11.765," R 79,991 ",,12.122," R 14,283 "
"04-Dec-08,Thu",11.766," R 81,595 ",,12.403," R 8,295 "
"05-Dec-08,Fri",11.765," R 78,666 ",,12.631," R 10,066 "
"08-Dec-08,Mon",11.773," R 79,002 ",,12.677," R 11,295 "
"09-Dec-08,Tue",11.749," R 77,427 ",,12.385," R 11,246 "
"10-Dec-08,Wed",11.756," R 77,221 ",,12.435," R 11,529 "
"11-Dec-08,Thu",11.760," R 79,642 ",,12.730," R 8,955 "
"12-Dec-08,Fri",11.447," R 58,903 ",,12.314," R 12,079 "
"15-Dec-08,Mon",11.429," R 80,142 ",,12.935," R 5,164 "
"16-Dec-08,Tue",11.429," R 80,142 ",,12.935," R 5,164 "
"17-Dec-08,Wed",11.404," R 80,719 ",,13.418," R 2,633 "
"18-Dec-08,Thu",11.408," R 78,709 ",,14.025," R 4,437 "
"19-Dec-08,Fri",11.451," R 78,998 ",,14.467," R 5,541 "
"22-Dec-08,Mon",11.478," R 82,336 ",,14.942," R 9,412 "
"23-Dec-08,Tue",11.339," R 73,966 ",,13.089," R 8,329 "
"24-Dec-08,Wed",11.261," R 77,798 ",,11.820," R 11,143 "
"25-Dec-08,Thu",11.261," R 77,798 ",,11.820," R 11,143 "
"26-Dec-08,Fri",11.261," R 77,798 ",,11.820," R 11,143 "
"29-Dec-08,Mon",11.254," R 85,757 ",,12.270," R 8,938 "
"30-Dec-08,Tue",11.260," R 86,225 ",,12.283," R 7,914 "
"31-Dec-08,Wed",11.359," R 81,025 ",,14.270," R 1,500 "
"01-Jan-09,Thu",11.354," R 79,942 ",,14.270," R 1,500 "
"02-Jan-09,Fri",11.409," R 83,103 ",,14.602," R 10,848 "
"05-Jan-09,Mon",11.307," R 82,898 ",,12.813," R 8,063 "
