,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Historical Data: South African Benchmark Overnight Rate (SABOR) and ,,,,,
Overnight Foreigh Exchange (FX) Rate,,,,,
,,,,,
,,,,,
,SABOR (%), Vol (Rmill) ,,FX (%) ,Vol (Rmill)
"07-Jun-10,Mon",6.272," R 81,328 ",,6.583," R 2,946 "
"08-Jun-10,Tue",6.268," R 79,151 ",,6.509," R 2,828 "
"09-Jun-10,Wed",6.264," R 76,457 ",,6.513," R 3,340 "
"10-Jun-10,Thu",6.273," R 80,238 ",,6.550," R 1,291 "
"11-Jun-10,Fri",6.270," R 80,441 ",,6.550," R 2,452 "
"14-Jun-10,Mon",6.274," R 80,415 ",,6.650," R 1,827 "
"15-Jun-10,Tue",6.265," R 78,217 ",,6.490," R 3,637 "
"16-Jun-10,Wed",6.265," R 78,217 ",,6.490," R 3,637 "
"17-Jun-10,Thu",6.254," R 83,544 ",,6.452," R 2,560 "
"18-Jun-10,Fri",6.258," R 85,851 ",,6.428," R 3,081 "
"21-Jun-10,Mon",6.264," R 85,440 ",,6.500," R 2,523 "
"22-Jun-10,Tue",6.267," R 83,560 ",,6.527," R 4,304 "
"23-Jun-10,Wed",6.263," R 83,300 ",,6.475," R 4,677 "
"24-Jun-10,Thu",6.256," R 90,451 ",,6.394," R 3,008 "
"25-Jun-10,Fri",6.259," R 84,988 ",,6.418," R 2,691 "
"28-Jun-10,Mon",6.265," R 82,411 ",,6.398," R 2,847 "
"29-Jun-10,Tue",6.273," R 81,350 ",,6.528," R 3,690 "
"30-Jun-10,Wed",6.263," R 75,716 ",,6.547," R 3,358 "
"01-Jul-10,Thu",6.258," R 78,542 ",,6.500," R 5,304 "
"02-Jul-10,Fri",6.268," R 75,378 ",,6.595," R 2,760 "
"05-Jul-10,Mon",6.277," R 73,331 ",,6.630, R 194 
"06-Jul-10,Tue",6.270," R 74,683 ",,6.615," R 5,066 "
"07-Jul-10,Wed",6.265," R 74,566 ",,6.541," R 3,033 "
"08-Jul-10,Thu",6.262," R 74,177 ",,6.500," R 3,115 "
"09-Jul-10,Fri",6.257," R 74,706 ",,6.527," R 2,495 "
"12-Jul-10,Mon",6.263," R 74,831 ",,6.550," R 2,694 "
"13-Jul-10,Tue",6.255," R 76,906 ",,6.517," R 6,115 "
"14-Jul-10,Wed",6.245," R 81,743 ",,6.482," R 4,885 "
"15-Jul-10,Thu",6.269," R 75,673 ",,6.623," R 5,075 "
"16-Jul-10,Fri",6.263," R 74,634 ",,6.596," R 7,166 "
"19-Jul-10,Mon",6.280," R 78,481 ",,6.643," R 8,889 "
"20-Jul-10,Tue",6.280," R 78,830 ",,6.500," R 2,563 "
"21-Jul-10,Wed",6.270," R 77,407 ",,6.530," R 3,307 "
"22-Jul-10,Thu",6.269," R 84,843 ",,6.554," R 5,215 "
"23-Jul-10,Fri",6.270," R 78,180 ",,6.597," R 3,821 "
"26-Jul-10,Mon",6.259," R 79,269 ",,6.470," R 9,565 "
"27-Jul-10,Tue",6.226," R 78,063 ",,6.461," R 10,150 "
"28-Jul-10,Wed",6.254," R 78,300 ",,6.503," R 8,624 "
"29-Jul-10,Thu",6.264," R 76,041 ",,6.550," R 7,239 "
"30-Jul-10,Fri",6.256," R 79,657 ",,6.586," R 5,764 "
"02-Aug-10,Mon",6.270," R 75,128 ",,6.697," R 8,307 "
"03-Aug-10,Tue",6.269," R 77,739 ",,6.633," R 4,398 "
"04-Aug-10,Wed",6.256," R 81,195 ",,6.551," R 3,797 "
"05-Aug-10,Thu",6.252," R 84,943 ",,6.505," R 6,320 "
"06-Aug-10,Fri",6.258," R 82,660 ",,6.539," R 7,864 "
"09-Aug-10,Mon",6.258," R 82,660 ",,6.539," R 7,864 "
"10-Aug-10,Tue",6.266," R 78,694 ",,6.467," R 9,124 "
"11-Aug-10,Wed",6.262," R 76,106 ",,6.476," R 11,330 "
"12-Aug-10,Thu",6.265," R 75,391 ",,6.446," R 6,082 "
"13-Aug-10,Fri",6.264," R 75,033 ",,6.374," R 10,120 "
"16-Aug-10,Mon",6.256," R 78,193 ",,6.243," R 10,160 "
"17-Aug-10,Tue",6.256," R 74,311 ",,6.292," R 7,163 "
"18-Aug-10,Wed",6.256," R 74,215 ",,6.261," R 5,537 "
"19-Aug-10,Thu",6.256," R 74,833 ",,6.323," R 8,534 "
"20-Aug-10,Fri",6.266," R 75,504 ",,6.442," R 5,955 "
"23-Aug-10,Mon",6.276," R 76,546 ",,6.513," R 6,977 "
"24-Aug-10,Tue",6.273," R 77,518 ",,6.566," R 5,055 "
"25-Aug-10,Wed",6.278," R 72,983 ",,6.550," R 4,770 "
"26-Aug-10,Thu",6.283," R 74,828 ",,6.564," R 5,639 "
"27-Aug-10,Fri",6.272," R 74,355 ",,6.494," R 5,294 "
"30-Aug-10,Mon",6.273," R 73,295 ",,6.524," R 7,591 "
"31-Aug-10,Tue",6.256," R 76,006 ",,6.601," R 5,050 "
"01-Sep-10,Wed",6.263," R 77,332 ",,6.514," R 1,782 "
"02-Sep-10,Thu",6.273," R 78,059 ",,6.487," R 5,906 "
"03-Sep-10,Fri",6.275," R 79,134 ",,6.514," R 4,272 "
"06-Sep-10,Mon",6.277," R 82,510 ",,6.450, R 150 
"07-Sep-10,Tue",6.277," R 80,350 ",,6.505," R 4,492 "
"08-Sep-10,Wed",6.285," R 87,208 ",,6.578," R 6,891 "
"09-Sep-10,Thu",6.268," R 88,520 ",,6.564," R 3,979 "
"10-Sep-10,Fri",5.877," R 79,253 ",,6.451," R 5,050 "
"13-Sep-10,Mon",5.800," R 78,769 ",,6.466," R 4,483 "
"14-Sep-10,Tue",5.796," R 79,728 ",,6.020," R 5,313 "
"15-Sep-10,Wed",5.782," R 80,573 ",,5.951," R 3,835 "
"16-Sep-10,Thu",5.801," R 82,135 ",,5.963," R 3,441 "
"17-Sep-10,Fri",5.773," R 84,918 ",,5.860," R 5,012 "
"20-Sep-10,Mon",5.744," R 90,368 ",,5.758," R 3,389 "
"21-Sep-10,Tue",5.777," R 76,006 ",,5.830," R 6,097 "
"22-Sep-10,Wed",5.778," R 81,900 ",,5.724," R 10,157 "
"23-Sep-10,Thu",5.778," R 77,760 ",,5.966," R 6,578 "
"24-Sep-10,Fri",5.778," R 77,760 ",,5.966," R 6,578 "
"27-Sep-10,Mon",5.784," R 80,477 ",,6.011," R 4,999 "
"28-Sep-10,Tue",5.791," R 85,849 ",,6.150," R 4,560 "
"29-Sep-10,Wed",5.763," R 86,036 ",,5.773," R 3,981 "
"30-Sep-10,Thu",5.761," R 80,093 ",,5.967," R 3,556 "
"01-Oct-10,Fri",5.780," R 76,339 ",,6.015," R 2,522 "
"04-Oct-10,Mon",5.783," R 82,006 ",,6.052," R 3,836 "
"05-Oct-10,Tue",5.778," R 79,563 ",,6.046," R 6,151 "
"06-Oct-10,Wed",5.782," R 77,623 ",,6.003," R 4,091 "
"07-Oct-10,Thu",5.786," R 77,555 ",,6.063," R 2,685 "
"08-Oct-10,Fri",5.778," R 78,313 ",,6.050," R 5,322 "
"11-Oct-10,Mon",5.772," R 78,403 ",,5.950, R 150 
"12-Oct-10,Tue",5.756," R 78,237 ",,5.709," R 2,904 "
"13-Oct-10,Wed",5.772," R 78,742 ",,5.940," R 7,648 "
"14-Oct-10,Thu",5.783," R 76,311 ",,5.983," R 5,025 "
"15-Oct-10,Fri",5.781," R 79,193 ",,5.943," R 5,021 "
"18-Oct-10,Mon",5.786," R 80,199 ",,5.901," R 6,804 "
"19-Oct-10,Tue",5.761," R 85,614 ",,5.884," R 6,354 "
"20-Oct-10,Wed",5.776," R 84,636 ",,5.965," R 6,316 "
"21-Oct-10,Thu",5.780," R 87,013 ",,6.035," R 8,887 "
"22-Oct-10,Fri",5.773," R 86,650 ",,6.020," R 4,524 "
"25-Oct-10,Mon",5.782," R 84,350 ",,6.092," R 6,410 "
"26-Oct-10,Tue",5.778," R 83,223 ",,6.202," R 4,469 "
"27-Oct-10,Wed",5.779," R 82,510 ",,6.250," R 2,533 "
"28-Oct-10,Thu",5.776," R 76,240 ",,6.165," R 2,306 "
"29-Oct-10,Fri",5.769," R 80,911 ",,6.270," R 4,095 "
"01-Nov-10,Mon",5.798," R 79,378 ",,6.400," R 2,013 "
"02-Nov-10,Tue",5.800," R 74,468 ",,6.133," R 2,023 "
"03-Nov-10,Wed",5.794," R 77,443 ",,6.159," R 7,116 "
"04-Nov-10,Thu",5.777," R 81,774 ",,6.093," R 8,659 "
"05-Nov-10,Fri",5.783," R 83,434 ",,6.081," R 4,036 "
"08-Nov-10,Mon",5.769," R 83,043 ",,6.150," R 2,887 "
"09-Nov-10,Tue",5.775," R 84,665 ",,6.165," R 4,867 "
"10-Nov-10,Wed",5.793," R 83,781 ",,6.100," R 1,259 "
"11-Nov-10,Thu",5.778," R 84,610 ",,5.850, R 427 
"12-Nov-10,Fri",5.797," R 84,118 ",,6.044," R 3,419 "
"15-Nov-10,Mon",5.801," R 86,406 ",,6.400," R 2,621 "
"16-Nov-10,Tue",5.811," R 88,296 ",,6.456," R 4,486 "
"17-Nov-10,Wed",5.816," R 89,959 ",,6.453," R 6,572 "
"18-Nov-10,Thu",5.795," R 88,081 ",,6.131," R 4,069 "
"19-Nov-10,Fri",5.355," R 82,520 ",,5.569," R 3,328 "
"22-Nov-10,Mon",5.348," R 83,578 ",,5.827," R 1,844 "
"23-Nov-10,Tue",5.342," R 83,788 ",,5.950," R 1,258 "
"24-Nov-10,Wed",5.318," R 87,893 ",,5.677," R 4,194 "
"25-Nov-10,Thu",5.315," R 87,538 ",,,
"26-Nov-10,Fri",5.336," R 83,480 ",,5.679," R 6,814 "
"29-Nov-10,Mon",5.331," R 86,502 ",,5.863," R 3,626 "
"30-Nov-10,Tue",5.306," R 88,474 ",,5.883," R 5,404 "
"01-Dec-10,Wed",5.342," R 81,388 ",,5.839," R 5,139 "
"02-Dec-10,Thu",5.331," R 84,218 ",,5.685," R 6,593 "
"03-Dec-10,Fri",5.306," R 89,334 ",,5.790," R 3,643 "
"06-Dec-10,Mon",5.305," R 87,742 ",,5.694," R 3,705 "
"07-Dec-10,Tue",5.299," R 88,872 ",,5.578," R 3,323 "
"08-Dec-10,Wed",5.296," R 88,630 ",,5.563," R 2,821 "
"09-Dec-10,Thu",5.299," R 89,469 ",,5.477," R 4,155 "
"10-Dec-10,Fri",5.292," R 86,695 ",,5.493," R 6,393 "
"13-Dec-10,Mon",5.299," R 89,463 ",,5.400," R 4,448 "
"14-Dec-10,Tue",5.288," R 92,774 ",,5.434," R 2,813 "
"15-Dec-10,Wed",5.276," R 86,201 ",,5.330," R 2,081 "
"16-Dec-10,Thu",5.276," R 86,201 ",,5.330," R 2,081 "
"17-Dec-10,Fri",5.274," R 90,936 ",,5.549," R 5,345 "
"20-Dec-10,Mon",5.280," R 90,193 ",,5.571," R 2,395 "
"21-Dec-10,Tue",5.336," R 87,737 ",,6.294," R 2,294 "
"22-Dec-10,Wed",5.318," R 86,217 ",,5.943," R 2,791 "
"23-Dec-10,Thu",5.315," R 86,337 ",,5.800," R 4,588 "
"24-Dec-10,Fri",5.297," R 89,507 ",,5.850," R 4,224 "
"27-Dec-10,Mon",5.297," R 89,507 ",,5.850," R 4,224 "
"28-Dec-10,Tue",5.295," R 93,470 ",,5.893," R 4,458 "
"29-Dec-10,Wed",5.296," R 95,023 ",,5.650," R 3,291 "
"30-Dec-10,Thu",5.295," R 90,433 ",,5.695," R 3,954 "
"31-Dec-10,Fri",5.341," R 86,910 ",,6.140," R 3,484 "
"03-Jan-11,Mon",5.322," R 91,068 ",,6.073," R 2,903 "
"04-Jan-11,Tue",5.290," R 88,710 ",,5.874," R 4,458 "
"05-Jan-11,Wed",5.304," R 87,519 ",,5.989," R 2,120 "
"06-Jan-11,Thu",5.294," R 86,427 ",,5.859," R 7,061 "
"07-Jan-11,Fri",5.289," R 88,407 ",,5.978," R 1,482 "
"10-Jan-11,Mon",5.275," R 87,356 ",,5.500," R 1,208 "
"11-Jan-11,Tue",5.283," R 87,004 ",,5.461," R 3,172 "
"12-Jan-11,Wed",5.281," R 89,653 ",,5.480," R 3,053 "
"13-Jan-11,Thu",5.278," R 94,127 ",,5.420," R 6,990 "
"14-Jan-11,Fri",5.282," R 88,790 ",,5.464," R 5,674 "
"17-Jan-11,Mon",5.327," R 88,832 ",,,
"18-Jan-11,Tue",5.280," R 94,409 ",,5.346," R 2,837 "
"19-Jan-11,Wed",5.282," R 91,475 ",,5.378," R 7,648 "
"20-Jan-11,Thu",5.276," R 96,390 ",,5.340," R 4,146 "
"21-Jan-11,Fri",5.265," R 85,033 ",,5.346," R 5,486 "
"24-Jan-11,Mon",5.290," R 94,497 ",,5.612," R 4,981 "
"25-Jan-11,Tue",5.300," R 93,224 ",,5.523," R 7,115 "
"26-Jan-11,Wed",5.306," R 91,843 ",,5.526," R 6,832 "
"27-Jan-11,Thu",5.295," R 88,192 ",,5.486," R 4,230 "
"28-Jan-11,Fri",5.293," R 88,851 ",,5.542," R 4,762 "
"31-Jan-11,Mon",5.294," R 86,897 ",,5.641," R 2,428 "
"01-Feb-11,Tue",5.290," R 85,694 ",,5.498," R 3,863 "
"02-Feb-11,Wed",5.284," R 87,038 ",,5.394," R 5,327 "
"03-Feb-11,Thu",5.272," R 86,761 ",,5.251," R 9,330 "
"04-Feb-11,Fri",5.280," R 91,867 ",,5.346," R 7,285 "
"07-Feb-11,Mon",5.284," R 93,302 ",,5.352," R 11,106 "
"08-Feb-11,Tue",5.278," R 94,552 ",,5.319," R 9,800 "
"09-Feb-11,Wed",5.275," R 94,986 ",,5.204," R 12,655 "
"10-Feb-11,Thu",5.260," R 97,174 ",,5.339," R 12,741 "
"11-Feb-11,Fri",5.268," R 96,614 ",,5.419," R 17,818 "
"14-Feb-11,Mon",5.275," R 98,122 ",,5.470," R 13,873 "
"15-Feb-11,Tue",5.271," R 97,046 ",,5.475," R 12,153 "
"16-Feb-11,Wed",5.291," R 99,650 ",,5.396," R 15,111 "
"17-Feb-11,Thu",5.300," R 99,470 ",,5.466," R 13,569 "
"18-Feb-11,Fri",5.293," R 105,909 ",,5.587," R 12,929 "
"21-Feb-11,Mon",5.291," R 106,182 ",,,
"22-Feb-11,Tue",5.302," R 105,826 ",,5.577," R 6,118 "
"23-Feb-11,Wed",5.290," R 105,659 ",,5.517," R 9,362 "
"24-Feb-11,Thu",5.295," R 104,669 ",,5.517," R 10,436 "
"25-Feb-11,Fri",5.275," R 106,155 ",,5.513," R 11,044 "
"28-Feb-11,Mon",5.259," R 98,755 ",,5.711," R 15,270 "
"01-Mar-11,Tue",5.282," R 99,052 ",,5.627," R 15,227 "
"02-Mar-11,Wed",5.278," R 101,419 ",,5.745," R 10,492 "
"03-Mar-11,Thu",5.275," R 104,067 ",,5.673," R 9,636 "
"04-Mar-11,Fri",5.274," R 103,895 ",,5.620," R 9,084 "
"07-Mar-11,Mon",5.282," R 102,951 ",,5.668," R 7,640 "
"08-Mar-11,Tue",5.275," R 108,849 ",,5.614," R 9,513 "
"09-Mar-11,Wed",5.269," R 106,740 ",,5.504," R 8,516 "
"10-Mar-11,Thu",5.275," R 109,038 ",,5.511," R 11,130 "
"11-Mar-11,Fri",5.278," R 110,547 ",,5.591," R 11,342 "
"14-Mar-11,Mon",5.284," R 110,830 ",,5.566," R 9,800 "
"15-Mar-11,Tue",5.270," R 112,056 ",,5.470," R 13,371 "
"16-Mar-11,Wed",5.265," R 115,833 ",,5.377," R 11,038 "
"17-Mar-11,Thu",5.242," R 110,814 ",,5.344," R 12,683 "
"18-Mar-11,Fri",5.260," R 114,132 ",,5.270," R 15,946 "
"21-Mar-11,Mon",5.260," R 114,131 ",,5.270," R 15,946 "
"22-Mar-11,Tue",5.267," R 107,431 ",,5.228," R 11,093 "
"23-Mar-11,Wed",5.268," R 105,525 ",,5.297," R 12,234 "
"24-Mar-11,Thu",5.266," R 110,462 ",,5.307," R 9,166 "
"25-Mar-11,Fri",5.263," R 102,105 ",,5.457," R 11,731 "
"28-Mar-11,Mon",5.255," R 103,358 ",,5.332," R 10,731 "
"29-Mar-11,Tue",5.252," R 102,275 ",,5.285," R 7,740 "
"30-Mar-11,Wed",5.258," R 100,868 ",,5.173," R 10,876 "
"31-Mar-11,Thu",5.241," R 105,946 ",,5.414," R 8,554 "
"01-Apr-11,Fri",5.277," R 97,732 ",,5.435," R 12,158 "
"04-Apr-11,Mon",5.245," R 110,707 ",,5.322," R 11,963 "
"05-Apr-11,Tue",5.258," R 104,187 ",,5.278," R 12,651 "
"06-Apr-11,Wed",5.277," R 102,361 ",,5.293," R 9,582 "
"07-Apr-11,Thu",5.266," R 105,837 ",,5.326," R 10,260 "
"08-Apr-11,Fri",5.277," R 106,731 ",,5.389," R 10,099 "
"11-Apr-11,Mon",5.268," R 111,666 ",,5.377," R 11,621 "
"12-Apr-11,Tue",5.280," R 109,030 ",,5.295," R 12,901 "
"13-Apr-11,Wed",5.266," R 109,621 ",,5.258," R 10,958 "
"14-Apr-11,Thu",5.275," R 105,317 ",,5.235," R 14,059 "
"15-Apr-11,Fri",5.266," R 104,584 ",,5.198," R 14,486 "
"18-Apr-11,Mon",5.263," R 103,058 ",,5.125," R 14,978 "
"19-Apr-11,Tue",5.283," R 101,595 ",,5.450," R 5,937 "
"20-Apr-11,Wed",5.277," R 98,969 ",,5.460," R 13,534 "
"21-Apr-11,Thu",5.299," R 109,289 ",,5.436," R 15,780 "
"22-Apr-11,Fri",5.299," R 109,289 ",,5.436," R 15,780 "
"25-Apr-11,Mon",5.299," R 109,289 ",,5.436," R 15,780 "
"26-Apr-11,Tue",5.271," R 105,072 ",,5.330," R 12,697 "
"27-Apr-11,Wed",5.271," R 105,072 ",,5.330," R 12,697 "
"28-Apr-11,Thu",5.248," R 111,673 ",,5.224," R 13,258 "
"29-Apr-11,Fri",5.278," R 102,022 ",,5.221," R 15,109 "
"02-May-11,Mon",5.278," R 102,022 ",,5.221," R 15,109 "
"03-May-11,Tue",5.269," R 103,433 ",,5.170," R 12,134 "
"04-May-11,Wed",5.264," R 107,003 ",,5.117," R 13,680 "
"05-May-11,Thu",5.262," R 112,064 ",,5.095," R 12,857 "
"06-May-11,Fri",5.254," R 108,778 ",,5.085," R 13,624 "
"09-May-11,Mon",5.254," R 110,270 ",,4.997," R 9,914 "
"10-May-11,Tue",5.275," R 109,977 ",,5.168," R 16,746 "
"11-May-11,Wed",5.282," R 110,378 ",,5.372," R 14,246 "
"12-May-11,Thu",5.285," R 110,491 ",,5.436," R 8,445 "
"13-May-11,Fri",5.281," R 113,669 ",,5.404," R 10,752 "
"16-May-11,Mon",5.288," R 111,162 ",,5.437," R 8,519 "
"17-May-11,Tue",5.291," R 111,614 ",,5.473," R 9,826 "
"18-May-11,Wed",5.291," R 111,614 ",,5.473," R 9,826 "
"19-May-11,Thu",5.292," R 116,015 ",,5.508," R 9,703 "
"20-May-11,Fri",5.287," R 109,508 ",,5.483," R 6,724 "
"23-May-11,Mon",5.291," R 110,877 ",,5.526," R 9,484 "
"24-May-11,Tue",5.282," R 116,925 ",,5.454," R 7,748 "
"25-May-11,Wed",5.284," R 111,822 ",,5.435," R 6,390 "
"26-May-11,Thu",5.298," R 107,076 ",,5.411," R 5,268 "
"27-May-11,Fri",5.288," R 106,948 ",,5.472," R 5,023 "
"30-May-11,Mon",5.290," R 102,089 ",,,
"31-May-11,Tue",5.288," R 93,588 ",,5.633," R 6,146 "
"01-Jun-11,Wed",5.298," R 95,412 ",,5.522," R 6,986 "
"02-Jun-11,Thu",5.295," R 100,127 ",,5.625," R 6,996 "
"03-Jun-11,Fri",5.297," R 100,528 ",,5.580," R 6,923 "
"06-Jun-11,Mon",5.289," R 100,270 ",,5.408," R 7,318 "
"07-Jun-11,Tue",5.287," R 93,881 ",,5.382," R 8,664 "
"08-Jun-11,Wed",5.283," R 99,247 ",,5.334," R 5,753 "
"09-Jun-11,Thu",5.288," R 98,665 ",,5.394," R 7,747 "
"10-Jun-11,Fri",5.286," R 100,588 ",,5.380," R 6,784 "
"13-Jun-11,Mon",5.289," R 101,434 ",,5.393," R 9,218 "
"14-Jun-11,Tue",5.281," R 102,092 ",,5.401," R 11,950 "
"15-Jun-11,Wed",5.265," R 110,453 ",,5.393," R 10,094 "
"16-Jun-11,Thu",5.265," R 110,453 ",,5.393," R 10,094 "
"17-Jun-11,Fri",5.284," R 108,840 ",,5.483," R 9,140 "
"20-Jun-11,Mon",5.296," R 110,594 ",,5.461," R 6,214 "
"21-Jun-11,Tue",5.292," R 108,777 ",,5.485," R 6,929 "
"22-Jun-11,Wed",5.293," R 109,171 ",,5.483," R 7,402 "
"23-Jun-11,Thu",5.272," R 108,164 ",,5.263," R 7,991 "
"24-Jun-11,Fri",5.265," R 104,295 ",,5.205," R 5,674 "
"27-Jun-11,Mon",5.265," R 104,210 ",,5.177," R 6,997 "
"28-Jun-11,Tue",5.269," R 96,359 ",,5.252," R 4,246 "
"29-Jun-11,Wed",5.254," R 103,707 ",,5.358," R 2,867 "
"30-Jun-11,Thu",5.293," R 93,901 ",,6.048," R 4,710 "
"01-Jul-11,Fri",5.273," R 94,681 ",,5.581," R 4,203 "
"04-Jul-11,Mon",5.281," R 91,574 ",,,
"05-Jul-11,Tue",5.258," R 99,401 ",,5.533," R 6,047 "
"06-Jul-11,Wed",5.255," R 102,517 ",,5.424," R 5,953 "
"07-Jul-11,Thu",5.266," R 98,106 ",,5.389," R 7,916 "
"08-Jul-11,Fri",5.256," R 106,387 ",,5.446," R 5,886 "
"11-Jul-11,Mon",5.269," R 107,046 ",,5.434," R 12,668 "
"12-Jul-11,Tue",5.269," R 106,013 ",,5.373," R 10,392 "
"13-Jul-11,Wed",5.289," R 101,066 ",,5.413," R 14,158 "
"14-Jul-11,Thu",5.278," R 101,909 ",,5.461," R 7,808 "
"15-Jul-11,Fri",5.261," R 102,947 ",,5.481," R 3,727 "
"18-Jul-11,Mon",5.262," R 110,770 ",,5.480," R 3,200 "
"19-Jul-11,Tue",5.286," R 105,450 ",,5.514," R 4,875 "
"20-Jul-11,Wed",5.274," R 101,880 ",,5.538," R 3,839 "
"21-Jul-11,Thu",5.275," R 101,359 ",,5.612," R 6,313 "
"22-Jul-11,Fri",5.295," R 98,840 ",,5.658," R 8,116 "
"25-Jul-11,Mon",5.295," R 100,492 ",,5.732," R 6,369 "
"26-Jul-11,Tue",5.282," R 100,839 ",,5.695," R 5,320 "
"27-Jul-11,Wed",5.282," R 99,084 ",,5.490," R 5,281 "
"28-Jul-11,Thu",5.278," R 100,203 ",,5.536," R 4,288 "
"29-Jul-11,Fri",5.258," R 101,937 ",,5.490," R 5,384 "
"01-Aug-11,Mon",5.256," R 94,353 ",,5.488," R 4,649 "
"02-Aug-11,Tue",5.265," R 100,435 ",,5.495," R 3,173 "
"03-Aug-11,Wed",5.275," R 103,402 ",,5.494," R 2,238 "
"04-Aug-11,Thu",5.286," R 96,215 ",,5.483," R 4,194 "
"05-Aug-11,Fri",5.285," R 99,355 ",,5.494," R 4,261 "
"08-Aug-11,Mon",5.296," R 102,148 ",,5.511," R 4,147 "
"09-Aug-11,Tue",5.296," R 102,148 ",,5.511," R 4,147 "
"10-Aug-11,Wed",5.293," R 104,974 ",,5.598," R 2,823 "
"11-Aug-11,Thu",5.298," R 101,513 ",,5.623," R 5,150 "
"12-Aug-11,Fri",5.292," R 99,102 ",,5.584," R 7,533 "
"15-Aug-11,Mon",5.288," R 101,522 ",,5.634," R 4,984 "
"16-Aug-11,Tue",5.301," R 100,163 ",,5.732," R 4,523 "
"17-Aug-11,Wed",5.267," R 106,150 ",,5.684," R 5,217 "
"18-Aug-11,Thu",5.273," R 107,600 ",,5.761," R 8,670 "
"19-Aug-11,Fri",5.279," R 100,288 ",,5.633," R 4,592 "
"22-Aug-11,Mon",5.293," R 99,655 ",,5.599," R 4,836 "
"23-Aug-11,Tue",5.292," R 101,712 ",,5.583," R 4,785 "
"24-Aug-11,Wed",5.293," R 97,950 ",,5.581," R 3,451 "
"25-Aug-11,Thu",5.296," R 102,072 ",,5.599," R 4,914 "
"26-Aug-11,Fri",5.292," R 100,209 ",,5.631," R 3,636 "
"29-Aug-11,Mon",5.278," R 103,812 ",,5.546," R 5,811 "
"30-Aug-11,Tue",5.279," R 96,880 ",,5.645," R 6,265 "
"31-Aug-11,Wed",5.262," R 99,768 ",,5.684," R 6,309 "
"01-Sep-11,Thu",5.259," R 93,833 ",,5.621," R 2,395 "
"02-Sep-11,Fri",5.255," R 96,394 ",,5.627," R 7,139 "
"05-Sep-11,Mon",5.263," R 100,431 ",,,
"06-Sep-11,Tue",5.278," R 97,063 ",,5.572," R 4,656 "
"07-Sep-11,Wed",5.281," R 98,332 ",,5.481," R 2,868 "
"08-Sep-11,Thu",5.287," R 97,080 ",,5.492," R 3,724 "
"09-Sep-11,Fri",5.292," R 100,024 ",,5.502," R 3,874 "
"12-Sep-11,Mon",5.289," R 101,762 ",,5.501," R 5,042 "
"13-Sep-11,Tue",5.292," R 103,011 ",,5.484," R 2,726 "
"14-Sep-11,Wed",5.273," R 106,059 ",,5.497," R 2,564 "
"15-Sep-11,Thu",5.291," R 107,118 ",,5.498," R 4,395 "
"16-Sep-11,Fri",5.287," R 112,885 ",,5.497," R 3,826 "
"19-Sep-11,Mon",5.282," R 110,203 ",,5.520," R 6,953 "
"20-Sep-11,Tue",5.289," R 101,872 ",,5.521," R 7,055 "
"21-Sep-11,Wed",5.300," R 97,042 ",,5.535," R 4,685 "
"22-Sep-11,Thu",5.307," R 105,737 ",,5.560," R 3,341 "
"23-Sep-11,Fri",5.302," R 101,749 ",,5.577," R 5,802 "
"26-Sep-11,Mon",5.305," R 101,752 ",,5.690," R 4,244 "
"27-Sep-11,Tue",5.313," R 101,387 ",,5.844," R 4,716 "
"28-Sep-11,Wed",5.318," R 93,205 ",,5.816," R 5,377 "
"29-Sep-11,Thu",5.290," R 92,432 ",,5.772," R 4,271 "
"30-Sep-11,Fri",5.303," R 92,803 ",,5.738," R 4,125 "
"03-Oct-11,Mon",5.309," R 91,407 ",,5.849," R 4,205 "
"04-Oct-11,Tue",5.306," R 89,353 ",,5.875," R 1,248 "
"05-Oct-11,Wed",5.321," R 91,837 ",,5.877," R 8,023 "
"06-Oct-11,Thu",5.313," R 90,280 ",,5.682," R 6,634 "
"07-Oct-11,Fri",5.302," R 100,454 ",,5.608," R 7,904 "
"10-Oct-11,Mon",5.296," R 96,274 ",,,
"11-Oct-11,Tue",5.298," R 98,669 ",,5.522," R 5,466 "
"12-Oct-11,Wed",5.281," R 102,482 ",,5.511," R 2,745 "
"13-Oct-11,Thu",5.275," R 103,219 ",,5.553," R 5,419 "
"14-Oct-11,Fri",5.275," R 104,472 ",,5.388," R 5,778 "
"17-Oct-11,Mon",5.304," R 103,321 ",,5.642," R 7,034 "
"18-Oct-11,Tue",5.300," R 108,497 ",,5.695," R 6,857 "
"19-Oct-11,Wed",5.300," R 108,116 ",,5.583," R 7,978 "
"20-Oct-11,Thu",5.299," R 106,192 ",,5.548," R 8,393 "
"21-Oct-11,Fri",5.303," R 106,142 ",,5.551," R 3,704 "
"24-Oct-11,Mon",5.305," R 109,459 ",,5.605," R 5,353 "
"25-Oct-11,Tue",5.302," R 103,960 ",,5.612," R 5,782 "
"26-Oct-11,Wed",5.308," R 92,799 ",,5.560," R 5,275 "
"27-Oct-11,Thu",5.297," R 100,330 ",,5.579," R 9,955 "
"28-Oct-11,Fri",5.295," R 96,927 ",,5.589," R 6,092 "
"31-Oct-11,Mon",5.284," R 97,144 ",,5.658," R 9,234 "
"01-Nov-11,Tue",5.298," R 95,426 ",,5.599," R 9,292 "
